num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.981980629148939,0.9654169730841842,0.88607794,0.8869,2,4,12,16,0,0,1,2,12,60.25628096199944,3.2238767500093672,128.3092174459889
8,0.9812401124781354,0.9783178485232911,0.89530481625,0.91055,3,6,15,27,0,0,1,2,12,13.638330362999113,4.016252811008599,22.411309691990027
10,0.9556750911361637,0.8558299026906211,0.8699564070334236,0.7335500000000003,4,8,18,29,0,0,1,2,12,132.31881399499252,6.461603926989483,19.39054056900204
6,0.9941011320319324,0.9843631627509335,0.949075505625,0.91645,2,4,14,20,0,0,1,2,12,59.67260582699964,3.186575695006468,19.80019181400712
8,0.9679855262757331,0.8973188622284701,0.8960704940252293,0.75915,3,6,16,22,0,0,1,2,12,109.01241134999873,3.3088043889947585,21.98454110300372
10,0.9450139082411845,0.5901251702413663,0.8440245741049142,0.45380000000000076,4,8,21,29,0,0,1,2,12,101.25527903799957,3.4196406259943615,21.082652561999566
12,0.8595647221958973,0.4617231682538911,0.755131178455446,0.3938000000000036,5,10,19,33,0,0,1,2,12,99.18383806700149,3.445095966999361,20.920561783001176
6,0.9937771158910657,0.9805895373839225,0.942265569375,0.9128,2,4,14,20,0,0,1,2,12,123.14861226699577,3.7190753089962527,22.93437350699969
8,0.9543361375091329,0.8900667724944016,0.8710884458869048,0.7621499999999999,3,6,16,22,0,0,1,2,12,169.42576202200144,3.8959177099968656,32.85235322600056
10,0.9509624730445129,0.6019867468858947,0.8440636623937785,0.46600000000000075,4,8,19,29,0,0,1,2,12,127.46692158799851,3.645864238998911,27.012846343001
12,0.8480648428528643,0.44280272279514665,0.7483922286710011,0.3833000000000034,5,10,19,33,0,0,1,2,12,120.02160252499743,3.3917569420009386,25.47514778200275
