num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.8305479874238467,0.704043759968845,0.6532319938895217,0.5374000000000001,9,20,28,41,0,0,1,2,12,280.909736400994,3.471977042994695,24.842759529012255
8,0.8070707160000284,0.6844411174580196,0.640278877680331,0.5243500000000001,18,37,44,67,0,0,1,2,12,192.3959224499995,3.4729154119850136,56.27971488298499
10,0.7074779793072302,0.7552690791163477,0.5447797080481698,0.5970500000000019,28,64,57,105,0,0,1,2,12,199.00111290998757,3.237187324994011,255.57040596898878
12,0.40997811751211555,0.36670526088394223,0.3699692515707431,0.36335000000000395,48,109,79,145,0,0,1,2,12,215.26625573000638,3.283675152983051,343.88113637798233
6,0.9130715379559312,0.6709411708767019,0.7593398888674279,0.5171500000000002,9,20,28,41,0,0,1,2,12,80.86736117100372,3.6014726700013853,32.67238340599579
8,0.8427696840573845,0.7383239813263253,0.6771568455673,0.5656,19,37,42,67,0,0,1,2,12,77.0197835479994,3.5213297129957937,23.45937819700339
10,0.6871799775196411,0.8213050613897604,0.5366856565787929,0.661050000000001,30,72,57,106,0,0,1,2,12,81.45828658800019,3.165077511999698,44.077239015001396
12,0.3767421775600504,0.37017758371264264,0.34287595711162444,0.35914999999999975,46,104,75,146,0,0,1,2,12,75.99534739999945,3.4263546930014854,24.19274849499925
6,0.927991898552521,0.7117600177346032,0.7850158949549367,0.5432500000000002,9,20,28,37,0,0,1,2,12,80.90454574301839,4.079544287989847,22.681842873920687
8,0.8556864555315521,0.7455908967189823,0.7050982183249208,0.5872000000000004,18,39,39,71,0,0,1,2,12,83.45487277803477,3.703419517027214,22.686316350940615
10,0.7365533241651395,0.8009555337981948,0.5790592758620923,0.642450000000002,30,71,61,105,0,0,1,2,12,85.73886966693681,3.608439573086798,23.73321870097425
12,0.3885425768355952,0.33254362641012486,0.3701238175086492,0.33729999999999916,48,106,76,152,0,0,1,2,12,77.51424519706052,3.546601969981566,45.02188673603814
6,0.9249176071367613,0.6819637243052412,0.7834568701808593,0.5239,9,20,28,41,0,0,1,2,12,50.163627337897196,3.9837085059843957,23.118033912032843
8,0.8694802849897664,0.723017610084766,0.7227873247235688,0.5657000000000001,18,40,45,71,0,0,1,2,12,80.33398345205933,4.052035846048966,23.11431396799162
10,0.7525595387071696,0.7347114517307389,0.5914438384438674,0.5803500000000005,30,69,50,109,0,0,1,2,12,72.04986960906535,4.1084438459947705,23.041851961053908
12,0.48814205863907484,0.4050599029648644,0.43923945095251593,0.3766000000000035,48,111,72,144,0,0,1,2,12,74.52086642198265,3.6424016900127754,23.976812431006692
