num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.9571116093911191,0.9492204421220111,0.9010737376805249,0.8497000000000001,10,22,19,39,0,0,1,1,6,78.26686528499704,3.8413646839908324,345.9334417259961
8,0.980483263588347,0.41965268926490307,0.9092680438634906,0.3830500000000002,14,28,22,46,0,0,1,1,6,111.68856746700476,4.127950505993795,274.0033370190067
10,0.9569447875561691,0.8018583507089408,0.8947985970024614,0.6212000000000024,18,26,25,43,0,0,1,1,6,49.295532057993114,3.611301219003508,27.768214728013845
12,0.8885359086712717,0.880930052805377,0.8151515783550742,0.7862500000000021,22,24,28,45,0,0,1,1,6,68.84731960797217,3.6746300749946386,27.979117281007348
10,0.9632971100139948,0.9346276985400394,0.9043413203033841,0.824900000000001,18,26,25,46,0,0,1,1,6,96.38342486298643,3.4183433529979084,27.837809275020845
6,0.981162217611959,0.9558338495297886,0.9119708278829726,0.845,10,21,19,38,0,0,1,1,6,47.42974738701014,3.708443501003785,113.31940817201394
8,0.9700623725895234,0.9381947855297968,0.8802223072314171,0.8365500000000001,14,28,22,46,0,0,1,1,6,119.07021748801344,3.1459883879870176,17.6489236500056
10,0.955135418656818,0.7647043324894578,0.8703376491984397,0.640450000000002,18,26,25,43,0,0,1,1,6,196.62326435599243,3.540559937013313,18.274351507017855
12,0.8701258350721807,0.2608124148780143,0.7800292696808815,0.19509999999998728,22,24,28,45,0,0,1,1,6,240.24603488398134,3.723991410981398,126.90094800898805
6,0.9714460324855336,0.9489286255844462,0.9097316935998659,0.8412000000000001,10,22,19,41,0,0,1,1,6,48.52239250700222,3.6589111249995767,19.356662017999042
8,0.9777938820339368,0.7069257204515538,0.8994897223124421,0.602200000000001,14,28,22,46,0,0,1,1,6,83.33837422399665,3.467064960997959,23.32670320699981
10,0.9690323663104196,0.925762471298932,0.8940233341158499,0.8220000000000013,18,26,25,46,0,0,1,1,6,25.432260298002802,4.529906584997661,23.19883403399581
12,0.876542220844754,0.8820039714761579,0.7877725048333972,0.7706000000000021,22,24,28,45,0,0,1,1,6,48.66870361600013,4.564166492004006,36.438261392999266
