num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.6761398403808045,0.7413220805698454,0.6759599731859757,0.75215,2,5,12,14,0,0,1,2,12,171.3371214089857,3.916056949994527,24.519869587005815
8,0.5226762792477508,0.5053,0.5226223122258772,0.5053000000000005,3,7,13,16,0,0,1,2,12,93.47581415899913,3.572979334014235,25.86614177998854
10,0.4452744468594853,0.2041772954165756,0.46725035558768635,0.20439999999999903,4,9,14,18,0,0,1,2,12,76.68388235400198,4.229465212003561,88.64020896900911
12,0.5187392345740965,0.09865000000000008,0.5185233832807445,0.09864999999999435,5,11,15,20,0,0,1,2,12,77.56422007401125,3.3220389960042667,52.94570580800064
10,0.5737969874681335,0.21262821630145656,0.5734912549410378,0.21354999999999869,4,9,14,18,0,0,1,2,12,73.30468675799784,3.608402828016551,30.984839431999717
6,0.8093030250252268,0.7666985005083545,0.8079354782112069,0.7683,2,5,12,14,0,0,1,2,12,59.52474282199546,3.28561656200327,66.61587139600306
8,0.6829214012936198,0.7292000000000001,0.6834931813541667,0.7292000000000003,3,7,13,16,0,0,1,2,12,58.86761766300333,3.5128326389967697,60.08146513999964
10,0.7032773610213804,0.2000682756452921,0.7050397825919118,0.2014499999999988,4,9,14,18,0,0,1,2,12,71.83615058800206,3.288068590001785,52.66155459499714
12,0.6401763112224209,0.1308000000000001,0.6395146248903509,0.1307999999999906,5,11,15,20,0,0,1,2,12,64.97306659800233,4.045119953996618,39.71566621200327
6,0.8477644057127842,0.7919214191661791,0.8463634577217742,0.79235,2,5,12,14,0,0,1,2,12,59.10688709899841,3.2210070979999728,53.61721059700358
8,0.737457629348684,0.7545500000000002,0.7369206720510564,0.7545500000000003,3,7,13,16,0,0,1,2,12,79.79850949700631,3.9984919319977053,81.64295479800057
10,0.8023936005064127,0.21630818569411314,0.7966128028510274,0.21729999999999805,4,9,14,18,0,0,1,2,12,75.27532784399955,3.595126224005071,28.219010250999418
12,0.6428255122343273,0.10665000000000004,0.643425884273897,0.10664999999999514,5,11,15,20,0,0,1,2,12,93.24403958800394,3.9180440029958845,54.41423547299928
