num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,2,7,8,14,5,14,2,4,49,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,7,8,14,5,14,2,6,51,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,7,13,13,19,14,27,2,6,51,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,11,9,19,9,20,2,9,54,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,3,7,9,18,9,20,2,11,56,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,18,21,29,38,44,65,2,8,53,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,12,16,19,28,27,44,2,12,57,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,16,22,25,31,35,54,2,13,58,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,18,24,35,37,44,65,2,14,59,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,16,24,30,43,44,65,2,16,61,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,27,32,38,51,77,104,2,15,60,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,7,8,14,5,14,2,4,49,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,7,8,15,5,14,2,6,51,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,7,15,15,24,14,27,2,6,51,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,9,9,17,9,20,2,9,54,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,3,9,9,20,9,20,2,11,56,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,21,20,30,39,44,65,2,8,53,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,13,16,22,26,27,44,2,12,57,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,19,18,31,27,35,54,2,13,58,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,16,21,31,37,44,65,2,14,59,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,20,29,28,42,44,65,2,16,61,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,26,37,41,61,77,104,2,15,60,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,7,8,14,5,14,2,4,49,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,5,8,11,5,14,2,6,51,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,7,10,14,16,14,27,2,6,51,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,11,9,15,9,20,2,9,54,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,3,9,9,16,9,20,2,11,56,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,16,24,29,36,44,65,2,8,53,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,15,19,23,29,27,44,2,12,57,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,17,20,27,36,35,54,2,13,58,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,18,22,28,46,44,65,2,14,59,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,20,19,28,41,44,65,2,16,61,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,27,32,41,53,77,104,2,15,60,0.0,0.0,0.0
