num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,1,5,5,9,2,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,7,6,11,5,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,3,9,7,13,9,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,11,7,15,9,77,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,4,13,8,17,14,104,2,3,48,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,5,15,8,19,20,135,2,3,48,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,5,17,9,21,20,170,2,3,48,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,6,19,10,23,27,209,2,3,48,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,7,38,10,52,35,252,2,3,48,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,7,26,11,47,35,299,2,3,48,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,8,51,12,81,44,350,2,3,48,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,1,5,5,9,2,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,7,6,11,5,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,3,9,7,13,9,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,11,7,15,9,77,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,4,13,8,17,14,104,2,3,48,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,5,15,8,19,20,135,2,3,48,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,5,17,9,21,20,170,2,3,48,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,6,19,10,23,27,209,2,3,48,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,7,30,10,51,35,252,2,3,48,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,7,28,11,44,35,299,2,3,48,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,8,38,12,66,44,350,2,3,48,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,1,5,5,9,2,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,7,6,11,5,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,3,9,7,13,9,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,11,7,15,9,77,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,4,13,8,17,14,104,2,3,48,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,5,15,8,19,20,135,2,3,48,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,5,17,9,21,20,170,2,3,48,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,6,19,10,23,27,209,2,3,48,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,7,50,10,64,35,252,2,3,48,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,7,53,11,91,35,299,2,3,48,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,8,38,12,64,44,350,2,3,48,0.0,0.0,0.0
