num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,4,9,28,31,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,13,28,33,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,17,33,40,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,21,33,44,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,12,25,35,54,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,14,29,38,58,41,149,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,16,33,40,64,51,186,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,18,37,44,71,62,227,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,20,56,45,109,74,272,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,22,57,48,136,87,321,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24,64,57,151,101,374,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,9,28,31,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,13,28,33,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,17,33,40,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,21,33,44,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,12,25,35,54,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,14,29,38,58,41,149,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,16,33,40,64,51,186,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,18,37,44,71,62,227,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,20,50,45,112,74,272,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,22,63,48,123,87,321,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24,73,57,149,101,374,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,9,28,31,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,13,28,33,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,17,33,40,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,21,33,44,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,12,25,35,54,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,14,29,38,58,41,149,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,16,33,40,64,51,186,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,18,37,44,71,62,227,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,20,50,45,111,74,272,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,22,57,48,138,87,321,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24,82,57,150,101,374,2,2,72,0.0,0.0,0.0
