num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,9,18,25,42,6,22,2,2,42,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,18,37,40,67,12,41,2,2,42,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,28,64,58,104,20,66,2,2,42,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,45,97,70,146,30,97,2,2,42,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,70,142,87,178,42,134,2,2,42,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,89,205,109,221,56,177,2,2,42,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,112,278,124,298,72,226,2,2,42,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,170,336,177,310,90,281,2,2,42,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,216,409,210,367,110,342,2,2,42,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,257,486,232,429,132,409,2,2,42,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,299,614,247,496,156,482,2,2,42,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,9,20,21,40,6,22,2,2,42,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,18,39,37,74,12,41,2,2,42,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,26,71,55,107,20,66,2,2,42,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,50,110,77,143,30,97,2,2,42,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,69,163,86,186,42,134,2,2,42,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,89,214,105,215,56,177,2,2,42,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,127,291,127,257,72,226,2,2,42,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,168,357,174,309,90,281,2,2,42,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,224,424,194,306,110,342,2,2,42,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,243,486,206,408,132,409,2,2,42,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,323,627,258,493,156,482,2,2,42,0.0,0.0,0.0
