num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,18,23,35,39,23,29,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,48,58,59,85,49,52,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,75,100,97,109,63,75,2,2,42,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,119,149,130,119,103,112,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,173,179,139,146,133,151,2,2,42,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,237,259,171,176,184,190,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,287,289,181,188,235,245,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,304,331,213,231,276,298,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,362,378,211,215,321,348,2,2,42,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,415,438,228,223,391,410,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,518,539,294,313,476,486,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,18,23,30,44,23,29,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,51,53,69,64,49,52,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,78,92,95,114,63,75,2,2,42,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,123,147,105,126,103,112,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,173,198,148,154,133,151,2,2,42,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,219,227,187,165,184,190,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,278,315,191,223,235,245,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,301,343,225,193,276,298,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,361,390,232,267,321,348,2,2,42,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,429,442,250,233,391,410,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,520,519,297,318,476,486,2,1,36,0.0,0.0,0.0
