num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,20,25,29,42,18,24,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,34,43,40,52,36,43,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,42,56,38,59,45,61,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,57,73,48,56,60,95,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,72,76,50,68,88,109,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,87,112,68,84,103,133,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,108,124,76,77,130,152,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,111,134,61,91,140,208,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,126,145,79,85,162,210,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,148,182,83,93,215,249,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,172,185,59,82,219,281,2,1,36,0.0,0.0,0.0
