num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,14,18,22,37,20,30,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,22,26,28,49,32,56,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,30,34,34,61,52,90,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,38,42,40,73,74,132,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,46,50,46,85,100,182,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,54,58,52,97,128,240,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,62,66,58,109,162,306,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,70,74,64,121,202,380,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,108,108,152,171,244,462,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,127,136,168,250,290,552,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,133,126,114,237,340,650,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,14,18,22,37,20,30,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,22,26,28,49,32,56,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,30,34,34,61,52,90,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,38,42,40,73,74,132,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,46,50,46,85,100,182,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,54,58,52,97,128,240,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,62,66,58,109,162,306,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,70,74,64,121,202,380,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,85,108,116,202,244,462,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,97,140,97,238,290,552,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,122,138,164,252,340,650,2,1,36,0.0,0.0,0.0
