num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,20,43,34,74,24,30,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,28,56,40,85,41,56,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,36,52,46,85,62,90,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,44,48,52,85,87,132,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,52,67,58,118,116,182,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,60,112,64,157,149,240,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,68,119,70,175,186,306,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,76,80,76,133,227,380,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,93,98,112,173,272,462,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,113,116,114,212,321,552,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,124,136,147,256,374,650,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,20,43,34,74,24,30,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,28,56,40,85,41,56,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,36,65,46,105,62,90,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,44,48,52,85,87,132,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,52,78,58,137,116,182,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,60,88,64,133,149,240,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,68,108,70,170,186,306,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,76,80,76,133,227,380,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,108,98,130,173,272,462,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,110,116,125,210,321,552,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,130,136,144,251,374,650,2,1,36,0.0,0.0,0.0
