num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,13,15,26,26,24,27,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,19,21,28,28,43,46,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,25,27,30,30,66,69,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,31,33,32,32,93,96,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,37,39,34,34,124,127,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,43,45,36,36,159,162,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,49,51,38,38,198,201,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,55,57,40,40,241,244,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,84,98,69,89,288,291,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,87,92,68,90,339,342,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,115,122,87,76,394,397,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,13,15,26,26,24,27,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,19,21,28,28,43,46,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,25,27,30,30,66,69,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,31,33,32,32,93,96,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,37,39,34,34,124,127,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,43,45,36,36,159,162,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,49,51,38,38,198,201,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,55,57,40,40,241,244,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,78,100,66,86,288,291,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,97,104,89,77,339,342,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,117,115,81,100,394,397,2,1,36,0.0,0.0,0.0
