num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,4,10,18,25,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,14,23,33,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,18,26,41,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,22,32,49,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,12,26,36,57,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,14,30,39,65,41,149,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,16,34,43,73,51,186,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,18,38,48,81,62,227,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,20,45,51,92,74,272,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,22,61,54,112,87,321,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24,83,59,132,101,374,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,10,18,25,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,14,23,33,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,8,18,26,41,17,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,10,22,32,49,24,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,12,26,36,57,32,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,14,30,39,65,41,149,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,16,34,43,73,51,186,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,18,38,48,81,62,227,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,20,69,51,104,74,272,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,22,67,56,109,87,321,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,24,92,57,129,101,374,2,2,72,0.0,0.0,0.0
