num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,2,7,8,15,5,14,2,4,49,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,7,8,14,5,14,2,6,51,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,7,15,14,24,14,27,2,6,51,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,9,9,18,9,20,2,9,54,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,3,11,9,17,9,20,2,11,56,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,18,24,28,39,44,65,2,8,53,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,10,21,17,30,27,44,2,12,57,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,14,18,21,41,35,54,2,13,58,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,14,24,27,40,44,65,2,14,59,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,14,22,27,41,44,65,2,16,61,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,26,32,44,59,77,104,2,15,60,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,5,8,11,5,14,2,4,49,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,7,8,13,5,14,2,6,51,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,7,10,15,18,14,27,2,6,51,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,11,9,19,9,20,2,9,54,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,3,9,9,16,9,20,2,11,56,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,16,19,30,33,44,65,2,8,53,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,11,16,25,26,27,44,2,12,57,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,14,25,24,38,35,54,2,13,58,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,19,22,29,30,44,65,2,14,59,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,16,24,25,43,44,65,2,16,61,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,21,24,43,43,77,104,2,15,60,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,7,8,13,5,14,2,4,49,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,7,8,14,5,14,2,6,51,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,7,13,14,26,14,27,2,6,51,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,3,9,9,21,9,20,2,9,54,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,3,11,9,16,9,20,2,11,56,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,18,20,33,34,44,65,2,8,53,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,12,14,19,26,27,44,2,12,57,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,14,20,20,33,35,54,2,13,58,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,18,22,27,40,44,65,2,14,59,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,18,22,29,40,44,65,2,16,61,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,26,33,38,55,77,104,2,15,60,0.0,0.0,0.0
