num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,2,5,4,9,5,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,7,5,11,9,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,4,9,5,13,14,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,5,11,6,15,20,77,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,6,13,7,17,27,104,2,3,48,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,7,15,8,19,35,135,2,3,48,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,8,17,9,21,44,170,2,3,48,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,9,19,10,23,54,209,2,3,48,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,10,31,11,40,65,252,2,3,48,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,11,39,12,65,77,299,2,3,48,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,12,56,13,84,90,350,2,3,48,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,5,4,9,5,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,7,5,11,9,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,4,9,5,13,14,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,5,11,6,15,20,77,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,6,13,7,17,27,104,2,3,48,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,7,15,8,19,35,135,2,3,48,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,8,17,9,21,44,170,2,3,48,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,9,19,10,23,54,209,2,3,48,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,10,39,11,60,65,252,2,3,48,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,11,27,12,53,77,299,2,3,48,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,12,45,13,76,90,350,2,3,48,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,5,4,9,5,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,3,7,5,11,9,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,4,9,5,13,14,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,5,11,6,15,20,77,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,6,13,7,17,27,104,2,3,48,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,7,15,8,19,35,135,2,3,48,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,8,17,9,21,44,170,2,3,48,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,9,19,10,23,54,209,2,3,48,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,10,29,11,45,65,252,2,3,48,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,11,42,12,68,77,299,2,3,48,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,12,55,13,76,90,350,2,3,48,0.0,0.0,0.0
