num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,1,4,13,18,5,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,6,13,19,9,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,3,8,16,26,14,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,4,10,15,26,20,77,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,5,12,19,35,27,104,2,3,48,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,6,14,22,40,35,135,2,3,48,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,7,16,19,38,44,170,2,3,48,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,8,18,23,47,54,209,2,3,48,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,9,20,26,57,65,252,2,3,48,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,10,40,31,98,77,299,2,3,48,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,11,55,32,111,90,350,2,3,48,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,1,4,13,18,5,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,6,13,19,9,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,3,8,16,26,14,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,4,10,15,29,20,77,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,5,12,19,35,27,104,2,3,48,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,6,14,22,40,35,135,2,3,48,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,7,16,19,38,44,170,2,3,48,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,8,18,23,47,54,209,2,3,48,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,9,20,26,57,65,252,2,3,48,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,10,43,29,104,77,299,2,3,48,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,11,42,32,106,90,350,2,3,48,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,1,4,13,18,5,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2,6,12,19,9,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,3,8,16,26,14,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,4,10,15,29,20,77,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,5,12,19,35,27,104,2,3,48,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,6,14,22,40,35,135,2,3,48,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,7,16,19,38,44,170,2,3,48,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,8,18,23,47,54,209,2,3,48,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,9,20,26,57,65,252,2,3,48,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,10,29,31,84,77,299,2,3,48,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,11,32,35,101,90,350,2,3,48,0.0,0.0,0.0
