num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,15,22,24,44,18,24,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,32,38,38,56,35,41,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,54,56,61,73,58,61,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,70,75,76,94,83,95,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,92,95,72,94,103,108,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,116,125,81,82,142,147,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,144,155,97,109,172,182,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,158,160,135,168,211,223,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,195,226,107,119,251,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,214,219,127,115,266,286,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,232,256,121,132,341,358,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,15,22,24,44,18,24,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,30,42,42,52,35,41,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,51,59,58,72,58,61,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,64,80,68,99,83,95,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,88,92,76,102,103,108,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,114,123,86,89,142,147,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,140,148,95,110,172,182,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,151,165,129,140,211,223,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,206,228,114,146,251,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,204,201,124,110,266,286,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,238,253,112,136,341,358,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,15,21,24,42,18,24,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,32,42,42,57,35,41,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,54,54,61,74,58,61,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,68,80,69,81,83,95,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,86,102,81,93,103,108,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,112,122,63,84,142,147,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,117,152,81,97,172,182,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,148,177,110,128,211,223,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,201,213,140,129,251,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,201,213,96,111,266,286,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,240,245,126,143,341,358,2,1,36,0.0,0.0,0.0
