num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,16,18,31,37,20,30,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,24,26,43,49,42,56,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,32,34,55,61,72,90,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,40,42,67,73,110,132,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,48,50,79,85,156,182,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,56,58,91,97,210,240,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,64,66,103,109,272,306,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,72,74,115,121,342,380,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,80,124,127,209,420,462,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,116,138,228,228,506,552,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,170,156,265,278,600,650,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,16,18,31,37,20,30,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,24,26,43,49,42,56,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,32,34,55,61,72,90,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,40,42,67,73,110,132,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,48,50,79,85,156,182,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,56,58,91,97,210,240,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,64,66,103,109,272,306,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,72,74,115,121,342,380,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,80,128,127,205,420,462,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,153,152,241,208,506,552,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,138,114,222,234,600,650,2,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,16,18,31,37,20,30,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,24,26,43,49,42,56,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,32,34,55,61,72,90,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,40,42,67,73,110,132,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,48,50,79,85,156,182,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,56,58,91,97,210,240,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,64,66,103,109,272,306,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,72,74,115,121,342,380,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,80,100,127,182,420,462,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,104,108,213,192,506,552,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,140,138,244,247,600,650,2,2,72,0.0,0.0,0.0
