num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,29,45,51,78,26,30,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,40,56,49,85,45,56,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,48,52,58,85,68,90,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,44,48,55,85,95,132,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,68,81,77,120,126,182,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,78,88,90,133,161,240,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,89,108,92,165,200,306,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,76,80,79,133,243,380,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,114,98,117,172,290,462,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,104,116,121,212,341,552,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,127,136,156,244,396,650,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,29,45,51,78,26,30,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,40,56,52,85,45,56,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,42,65,55,105,68,90,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,44,48,55,85,95,132,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,70,79,101,129,126,182,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,78,88,76,141,161,240,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,80,95,89,154,200,306,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,76,80,79,133,243,380,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,90,109,105,191,290,462,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,116,118,138,201,341,552,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,118,136,147,241,396,650,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,29,40,48,84,26,30,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,40,56,49,85,45,56,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,42,52,52,85,68,90,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,44,48,55,85,95,132,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,58,79,71,127,126,182,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,75,99,76,152,161,240,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,89,95,102,151,200,306,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,76,80,79,133,243,380,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,90,98,105,171,290,462,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,102,129,128,229,341,552,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,118,151,151,261,396,650,2,1,36,0.0,0.0,0.0
