num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,4,10,17,20,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,14,18,22,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,18,22,23,60,62,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,22,25,26,85,87,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,26,27,28,114,116,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,30,29,30,147,149,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,34,31,32,184,186,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,38,33,34,225,227,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,55,57,62,63,270,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,51,55,60,62,319,321,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,72,80,83,87,372,374,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,10,17,20,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,14,18,22,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,18,22,23,60,62,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,22,25,26,85,87,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,26,27,28,114,116,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,30,29,30,147,149,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,34,31,32,184,186,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,38,33,34,225,227,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,49,66,59,66,270,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,68,55,62,62,319,321,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,69,68,84,80,372,374,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,10,17,20,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,14,18,22,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,18,22,23,60,62,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,22,25,26,85,87,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,26,27,28,114,116,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,30,29,30,147,149,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,34,31,32,184,186,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,38,33,34,225,227,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,52,57,54,72,270,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,75,81,78,84,319,321,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,63,86,79,84,372,374,2,1,36,0.0,0.0,0.0
