num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,4,10,18,25,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,14,23,33,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,18,26,41,60,62,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,22,31,49,85,87,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,26,36,57,114,116,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,30,41,65,147,149,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,34,46,73,184,186,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,38,51,81,225,227,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,46,57,89,101,270,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,57,64,102,112,319,321,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,64,86,113,128,372,374,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,10,18,25,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,14,23,33,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,18,26,41,60,62,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,22,31,49,85,87,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,26,36,57,114,116,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,30,41,65,147,149,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,34,46,73,184,186,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,38,51,81,225,227,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,46,48,89,95,270,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,65,73,106,118,319,321,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,73,65,118,120,372,374,2,1,36,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,10,18,25,6,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,14,23,33,11,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,18,26,41,60,62,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,22,31,49,85,87,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,26,36,57,114,116,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,30,41,65,147,149,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,34,46,73,184,186,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,38,51,81,225,227,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,64,54,109,98,270,272,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,57,75,95,118,319,321,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,66,86,108,124,372,374,2,1,36,0.0,0.0,0.0
