num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,4,18,15,42,5,22,3,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,13,37,27,67,11,41,3,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,25,69,43,104,20,66,3,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,50,101,80,135,30,97,3,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,66,160,91,191,42,134,3,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,96,199,112,218,56,177,3,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,148,271,166,259,72,226,3,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,170,352,175,341,90,281,3,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,231,397,187,361,110,342,3,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,261,485,217,415,132,409,3,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,323,590,263,462,156,482,3,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,20,15,36,5,22,3,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,13,35,27,73,11,41,3,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,23,68,40,97,20,66,3,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,50,105,69,146,30,97,3,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,71,155,89,190,42,134,3,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,96,200,112,199,56,177,3,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,136,280,149,259,72,226,3,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,158,333,172,299,90,281,3,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,209,393,190,339,110,342,3,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,249,505,211,395,132,409,3,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,336,616,263,475,156,482,3,2,72,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,20,15,40,5,22,3,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,13,39,27,74,11,41,3,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,25,66,43,110,20,66,3,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,50,103,74,150,30,97,3,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,68,161,98,184,42,134,3,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,94,201,109,211,56,177,3,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,127,273,132,265,72,226,3,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,159,393,175,313,90,281,3,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,212,414,192,417,110,342,3,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,255,478,206,399,132,409,3,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,290,600,247,494,156,482,3,2,72,0.0,0.0,0.0
