num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,21,26,35,47,20,24,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,22,39,32,53,29,43,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,45,61,38,61,51,61,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,46,75,38,59,55,95,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,68,92,53,60,81,109,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,84,101,45,71,95,133,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,103,111,70,59,125,152,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,100,136,50,87,134,208,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,115,145,59,83,148,210,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,146,158,65,85,190,249,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,166,165,91,80,203,281,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,19,26,29,47,20,24,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,25,44,33,58,29,43,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,45,58,35,56,51,61,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,52,70,41,50,55,95,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,73,94,46,61,81,109,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,77,100,46,67,95,133,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,91,118,76,63,125,152,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,108,130,80,86,134,208,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,114,148,65,73,148,210,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,138,161,77,98,190,249,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,157,190,87,81,203,281,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,21,26,32,48,20,24,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,24,43,32,58,29,43,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,45,58,52,50,51,61,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,44,70,36,53,55,95,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,76,84,49,64,81,109,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,83,102,46,56,95,133,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,101,121,55,60,125,152,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,107,126,61,99,134,208,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,120,151,71,79,148,210,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,148,174,64,105,190,249,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,166,191,64,84,203,281,3,1,216,0.0,0.0,0.0
