num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,3,5,4,9,9,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,5,7,6,11,20,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,7,9,8,13,35,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,9,11,10,15,54,77,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,11,13,12,17,77,104,2,3,48,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,13,15,14,19,104,135,2,3,48,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,15,17,16,21,135,170,2,3,48,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,17,19,18,23,170,209,2,3,48,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,19,26,20,40,209,252,2,3,48,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,26,39,41,64,252,299,2,3,48,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,46,48,49,79,252,350,2,3,48,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,3,5,4,9,9,20,2,3,48,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,5,7,6,11,20,35,2,3,48,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,7,9,8,13,35,54,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,9,11,10,15,54,77,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,11,13,12,17,77,104,2,3,48,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,13,15,14,19,104,135,2,3,48,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,15,17,16,21,135,170,2,3,48,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,17,19,18,23,170,209,2,3,48,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,19,38,20,54,209,252,2,3,48,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,20,54,21,77,230,299,2,3,48,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,32,44,50,70,299,350,2,3,48,0.0,0.0,0.0
