num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,18,25,38,42,24,29,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,43,55,54,64,48,52,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,87,92,103,108,72,75,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,133,144,123,127,109,112,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,179,180,139,159,148,151,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,218,238,157,181,183,190,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,290,298,175,207,242,245,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,336,327,200,211,293,298,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,390,371,212,231,345,348,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,439,436,258,288,408,410,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,520,528,296,342,478,486,2,1,36,0.0,0.0,0.0
