num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,20,25,35,42,21,24,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,31,45,44,58,39,43,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,42,58,40,55,50,61,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,59,70,45,56,79,95,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,76,82,56,76,97,109,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,94,102,60,64,116,133,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,103,107,61,67,140,152,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,124,123,84,90,192,208,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,135,155,80,98,186,210,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,146,171,90,83,224,249,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,160,187,73,80,245,281,2,1,36,0.0,0.0,0.0
