num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,51,70,81,112,30,30,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,68,87,83,125,56,56,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,71,78,89,125,90,90,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,68,72,92,125,132,132,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,114,104,131,177,182,182,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,116,152,131,226,240,240,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,119,144,137,227,306,306,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,116,120,140,197,380,380,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,142,150,188,258,462,462,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,187,182,231,314,552,552,2,1,36,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,194,212,266,364,650,650,2,1,36,0.0,0.0,0.0
