num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,8,10,21,25,17,24,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,14,29,33,32,41,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,18,37,41,51,62,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,22,45,49,74,87,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,26,53,57,101,116,2,2,72,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,28,30,61,65,132,149,2,2,72,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,32,34,69,73,167,186,2,2,72,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,36,38,77,81,206,227,2,2,72,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,40,74,85,110,249,272,2,2,72,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,63,64,104,103,272,321,2,2,72,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,66,77,117,124,347,374,2,2,72,0.0,0.0,0.0
