num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,6,9,24,31,17,24,3,2,252,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,10,13,29,33,32,41,3,2,252,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,14,17,36,40,51,62,3,2,252,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,18,21,41,44,74,87,3,2,252,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,22,25,51,54,101,116,3,2,252,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,26,29,54,58,132,149,3,2,252,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,30,33,61,64,167,186,3,2,252,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,34,37,69,71,206,227,3,2,252,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,38,56,73,124,249,272,3,2,252,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,51,60,117,140,296,321,3,2,252,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,61,85,141,160,347,374,3,2,252,0.0,0.0,0.0
