num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,8,20,21,36,14,22,3,2,252,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,32,40,53,69,37,41,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,54,66,92,97,63,66,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,88,103,117,147,94,97,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,142,152,153,181,132,134,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,196,183,206,229,174,177,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,285,277,265,304,224,226,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,340,333,288,301,279,281,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,391,434,340,348,339,342,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,507,480,437,402,407,409,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,586,583,477,479,480,482,3,1,216,0.0,0.0,0.0
