num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,12,18,28,37,17,30,3,2,252,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,20,26,40,49,37,56,3,2,252,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,28,34,52,61,65,90,3,2,252,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,36,42,64,73,101,132,3,2,252,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,44,50,76,85,145,182,3,2,252,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,52,58,88,97,197,240,3,2,252,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,60,66,100,109,257,306,3,2,252,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,68,74,112,121,325,380,3,2,252,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,76,92,124,164,401,462,3,2,252,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,122,126,219,218,485,552,3,2,252,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,116,134,238,227,577,650,3,2,252,0.0,0.0,0.0
