num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,2,5,11,14,5,20,3,4,84,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,4,7,13,16,14,35,3,4,84,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,6,9,15,18,27,54,3,4,84,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,8,11,17,20,44,77,3,4,84,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,10,13,19,22,65,104,3,4,84,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,12,15,21,24,90,135,3,4,84,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,14,17,23,26,119,170,3,4,84,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,16,19,25,28,152,209,3,4,84,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,15,43,24,72,135,252,3,4,84,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,19,42,28,75,209,299,3,4,84,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,36,47,59,77,252,350,3,4,84,0.0,0.0,0.0
