num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,2,6,12,18,2,3,48,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,13,20,25,40,2,2,42,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,31,39,37,74,2,2,42,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,53,71,45,108,2,2,42,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,93,98,74,129,2,2,42,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,133,144,93,176,2,2,42,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,201,221,194,206,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,278,260,300,265,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,357,343,311,327,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,450,438,330,345,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,532,507,235,423,2,2,42,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,2,6,12,18,2,3,48,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,13,20,21,40,2,2,42,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,30,44,33,70,2,2,42,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,53,66,48,103,2,2,42,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,91,105,75,146,2,2,42,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,131,151,91,174,2,2,42,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,198,206,225,232,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,283,261,271,230,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,324,346,314,298,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,410,429,394,370,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,483,498,201,412,2,2,42,0.0,0.0,0.0
