num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,4,6,15,18,1,2,12,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,10,18,21,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,15,24,33,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,19,24,21,30,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,35,35,51,60,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,34,42,41,36,1,2,12,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,40,49,36,41,1,2,12,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,41,61,30,42,1,2,12,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,55,71,35,56,1,2,12,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,70,80,52,48,1,2,12,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,77,85,56,54,1,2,12,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,82,93,50,67,1,2,12,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,4,6,12,15,1,2,12,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,13,18,24,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,17,18,24,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,19,28,24,32,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,30,33,39,41,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,34,39,42,58,1,2,12,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,40,45,32,51,1,2,12,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,63,63,64,72,1,2,12,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,60,65,55,84,1,2,12,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,69,81,58,53,1,2,12,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,74,92,61,66,1,2,12,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,79,92,79,71,1,2,12,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,4,6,12,15,1,2,12,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,13,18,26,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,18,18,37,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,24,18,30,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,24,34,37,44,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,39,45,50,59,1,2,12,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,35,51,37,45,1,2,12,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,47,65,38,64,1,2,12,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,61,74,55,69,1,2,12,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,67,66,50,62,1,2,12,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,66,95,41,68,1,2,12,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,88,99,56,75,1,2,12,0.0,0.0,0.0
