num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,6,18,18,42,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,14,26,25,51,3,2,432,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,27,46,34,52,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,36,47,35,46,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,55,78,49,63,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,61,85,52,56,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,76,98,47,81,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,86,109,50,56,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,108,134,62,92,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,123,164,59,74,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,139,149,59,65,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,146,173,67,86,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,27,44,32,55,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,31,55,38,51,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,47,70,41,67,3,2,252,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,53,78,46,64,3,2,252,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,62,91,42,84,3,2,432,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,98,121,47,62,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,112,124,58,71,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,122,135,51,79,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,131,161,65,73,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,134,155,50,61,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,25,43,43,60,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,31,54,31,45,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,52,76,35,50,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,57,74,49,55,3,2,432,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,64,107,45,58,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,80,113,54,55,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,107,132,51,70,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,111,129,51,61,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,135,145,61,58,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,154,178,67,73,3,1,216,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,6,18,18,33,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,18,29,26,43,3,2,432,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,27,43,32,61,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,40,56,46,48,3,2,432,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,55,71,38,51,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,59,64,47,52,3,2,222,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,81,99,49,54,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,79,98,52,50,3,3,258,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,108,129,61,66,3,2,432,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,108,136,75,81,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,145,176,78,86,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,159,188,66,82,3,1,216,0.0,0.0,0.0
