num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,4,14,12,36,3,2,432,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,15,28,35,59,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,35,44,61,79,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,47,56,84,105,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,58,70,106,128,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,76,84,131,151,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,90,100,170,171,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,111,116,190,204,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,117,122,212,229,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,127,142,224,250,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,157,154,259,269,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,165,165,289,298,3,1,216,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,4,16,12,33,3,2,432,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,18,30,39,56,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,35,40,69,82,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,45,58,87,102,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,62,68,114,128,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,75,84,133,148,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,87,101,160,184,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,101,109,189,200,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,126,123,210,226,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,127,136,225,249,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,142,150,258,272,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,163,178,272,295,3,1,216,0.0,0.0,0.0
