num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,0,3,6,16,2,3
4,0,3,6,16,2,3
4,1,3,10,16,2,3
6,2,5,14,22,2,3
6,1,5,13,22,2,3
6,2,5,14,22,2,3
8,2,7,13,28,2,3
8,2,7,13,28,2,3
8,2,7,13,28,2,3
10,4,9,20,34,2,3
10,4,9,20,34,2,3
10,3,9,19,34,2,3
12,4,11,18,40,2,3
12,4,11,18,40,2,3
12,5,11,22,40,2,3
14,5,13,22,52,2,3
14,5,13,22,52,2,3
14,6,13,25,44,2,3
16,6,15,25,48,2,3
16,7,15,28,48,2,3
16,7,15,28,48,2,3
18,7,17,28,56,2,3
18,8,17,32,56,2,3
18,8,17,32,56,2,3
20,9,19,34,59,2,3
20,8,19,32,59,2,3
20,8,19,32,59,2,3
22,8,36,32,103,2,3
22,7,40,28,106,2,3
22,9,39,34,111,2,3
24,11,48,40,126,2,3
24,11,49,40,123,2,3
24,10,53,38,128,2,3
