num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,1,7,12,23,2,2
4,1,7,12,23,2,2
4,1,7,12,23,2,2
6,2,15,13,28,2,2
6,2,15,13,28,2,2
6,2,14,13,36,2,2
8,3,20,14,31,2,2
8,3,20,14,31,2,2
8,3,20,14,31,2,2
10,4,16,15,27,2,2
10,4,16,15,27,2,2
10,4,20,15,36,2,2
12,5,12,16,23,2,2
12,5,12,16,23,2,2
12,5,12,16,23,2,2
14,6,24,17,41,2,2
14,6,32,17,43,2,2
14,6,36,17,53,2,2
16,7,28,18,39,2,2
16,7,32,18,51,2,2
16,11,32,20,42,2,2
18,8,32,19,56,2,2
18,8,36,19,76,2,2
18,8,24,19,35,2,2
20,9,20,20,31,2,2
20,9,20,20,31,2,2
20,9,20,20,31,2,2
22,15,51,24,80,2,2
22,10,42,21,59,2,2
22,10,53,21,76,2,2
24,11,52,22,91,2,2
24,11,34,22,71,2,2
24,41,73,63,106,2,2
