num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,0,11,8,23,4,4
4,0,11,8,23,4,4
4,0,11,8,20,4,4
6,9,23,20,39,4,3
6,4,25,14,40,4,2
6,4,21,14,34,4,2
8,22,38,34,44,4,2
8,25,43,34,49,4,2
8,19,41,26,46,4,1
10,34,59,35,77,4,1
10,38,58,53,73,4,1
10,33,59,35,57,4,1
12,48,80,42,72,4,1
12,50,84,47,68,4,1
12,33,81,42,70,4,2
14,74,87,89,100,4,1
14,72,96,67,83,4,1
14,83,94,77,70,4,1
16,102,124,79,85,4,1
16,85,121,96,101,4,1
16,96,116,92,108,4,1
18,129,147,98,99,4,1
18,120,140,105,91,4,1
18,126,143,99,113,4,1
20,146,171,120,142,4,1
20,124,167,97,110,4,1
20,128,177,82,120,4,1
22,161,196,88,98,4,1
22,153,180,89,101,4,1
22,146,207,96,172,4,1
24,174,218,88,109,4,1
24,203,218,136,112,4,1
24,194,209,108,121,4,1
