num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,11,11,28,28,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,21,21,37,37,0,1,1,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,28,18,45,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,26,21,45,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,24,24,45,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,30,27,65,2,2,72,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,11,11,28,28,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,21,21,40,37,0,1,1,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,12,28,18,42,2,2,72,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,16,26,21,45,2,2,72,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,20,24,24,45,2,2,72,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,24,32,27,62,2,2,72,0.0,0.0,0.0
4,0.9986301992108508,0.9976509790833216,0.97525,0.9631500000000001,11,11,28,28,0,1,1,6.416313827969134,8.936796803027391e-05,1.3297306520398706
6,0.987208856996395,0.9694547754693769,0.9410000000000001,0.8742000000000001,19,22,37,41,0,1,1,6.697867399954703,0.00032959599047899246,1.467759450955782
8,0.9942235753334229,0.9769238675810092,0.9656640594428438,0.9096000000000001,12,28,18,42,2,2,72,148.65145368000958,4.328721704019699,3.399738938023802
10,0.9834285446810236,0.9579915973714298,0.9436118809720122,0.8901500000000007,16,26,21,45,2,2,72,170.88109102804447,3.8287513060495257,3.6698843030026183
12,0.9641613102011146,0.9144708865822538,0.9147906837305142,0.8408500000000024,20,24,24,45,2,2,72,215.57734170398908,4.2028629599954,3.024698809022084
14,0.9305197618129922,0.843007439547195,0.8820628797642913,0.7918500000000075,24,30,27,65,2,2,72,297.4549725969555,3.5699126449762844,38.28900766297011
