num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.9533200792190116,0.9146122736033994,0.953275,0.9148000000000001,3,3,7,7,0,1,1,27.09297683998011,0.00025884900242090225,7.365799126971979
6,0.9380722389894888,0.856061221506933,0.935275898422619,0.8559749999999999,4,5,6,9,1,2,12,74.8898758769501,3.2064764239476062,20.64924268302275
8,0.9047242690200672,0.8116932494487352,0.9023466957770272,0.811425,6,7,7,11,1,2,12,58.95528923999518,3.2292659690137953,11.59859733999474
10,0.8937742008226806,0.7340828267291999,0.8875848089423054,0.73345,7,9,7,13,2,3,48,91.98848960601026,3.14374118600972,13.305287881055847
12,0.8506439291470768,0.696328244947953,0.8540932229162381,0.6947750000000001,9,11,7,15,2,3,48,113.11209442099789,3.1865539949503727,35.37799374299357
14,0.838333571018385,0.659450289763668,0.838769685884307,0.6575500000000005,10,14,6,25,3,4,84,161.20180002599955,3.2935552719864063,65.21074934798526
16,0.8175823593587702,0.6072461303371082,0.8137052139126857,0.6049250000000013,12,18,7,43,3,4,84,146.65959394199308,3.797689492988866,203.06956775399158
4,0.0,0.0,0.0,0.0,3,3,7,7,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,5,6,9,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,6,7,7,11,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,7,9,7,13,2,3,48,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,9,11,7,15,2,3,48,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,10,17,6,28,3,4,84,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,12,18,7,41,3,4,84,0.0,0.0,0.0
