num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,6,6,18,18,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,20,20,40,40,0,1,1,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,36,42,33,69,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,58,74,59,107,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,90,103,72,132,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,135,149,93,176,1,2,12,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,6,6,18,18,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,18,20,39,40,0,1,1,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,35,39,43,63,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,60,76,59,109,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,96,105,72,143,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,138,139,91,177,1,2,12,0.0,0.0,0.0
4,0.9997570723398483,0.9995215213399073,0.9869,0.982,6,6,18,18,0,1,1,3.1064080630312674,0.00020062096882611513,1.9192376629798673
6,0.9745837736475217,0.9506772679486107,0.8722,0.81555,20,20,40,45,0,1,1,3.2211648889933713,0.0004481789655983448,0.991055691963993
8,0.9870288890886935,0.9708172508521662,0.9135854070247812,0.8591500000000001,36,42,37,82,1,2,12,24.062412163999397,3.6672717119799927,1.0765864420100115
10,0.9581892248192276,0.9166612282339441,0.8612426630470402,0.7873000000000009,58,68,56,96,1,2,12,25.845960408973042,3.317708427028265,2.78329685900826
12,0.9298188087868996,0.8636171894486653,0.8139010717364322,0.7343500000000112,94,106,72,157,1,2,12,31.710093087982386,3.413526088988874,7.3917311989935115
14,0.5867821670722251,0.37909130098376886,0.5629881963688927,0.40700000000003267,136,146,86,183,1,2,12,40.96698417200241,3.5294751600013115,143.32399603701197
