num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,11,11,18,18,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,19,15,34,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,22,23,28,29,0,2,2,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,14,26,15,21,3,3,108,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,16,40,15,35,4,4,144,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,30,42,28,29,2,4,74,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,29,46,28,34,3,4,109,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,11,11,28,29,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,20,15,31,2,2,72,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,15,21,25,28,2,3,73,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,14,26,15,21,3,3,108,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,18,24,18,24,3,3,108,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,25,41,29,49,3,4,109,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,24,44,18,27,4,4,144,0.0,0.0,0.0
4,0.9967604755880494,0.9898502629095893,0.95235,0.91985,11,11,29,29,0,1,1,4.649111109960359,7.174001075327396e-05,0.8731972730020061
6,0.9916305094006586,0.9625182451687242,0.9484074605221939,0.8745999999999999,8,21,15,32,2,2,72,126.94053765101125,3.6447403429774567,0.954363590979483
8,0.9957776461744701,0.9943300983902303,0.947565347640225,0.9407,15,25,21,25,2,3,73,122.56987096898956,3.9091108629945666,1.049944578029681
10,0.9750748613262508,0.9483164992768499,0.9031722434035163,0.8510500000000005,14,26,18,24,3,3,108,208.31486219499493,5.703673013951629,2.756094373995438
12,0.9285301549054733,0.861524288542001,0.8569260508434448,0.7799000000000067,18,24,18,18,3,3,108,218.02614181797253,4.462581662985031,2.781424953020178
14,0.6639594427309957,0.47112984083880877,0.6424999430685723,0.5353000000000416,20,34,18,27,4,4,144,277.55520563200116,19.937561088008806,35.769969573942944
16,0.5399721377675464,0.29049918804165603,0.6323631544377053,0.42699999999995775,32,51,29,35,3,5,110,203.57507437403547,8.702149589022156,2466.3649858480203
