num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,9,9,24,24,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,15,15,26,26,0,1,1,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,18,21,24,28,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,24,27,25,30,3,2,432,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,30,33,26,32,3,2,432,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,36,46,27,53,3,2,432,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,39,66,26,71,6,3,47088,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,9,9,24,24,0,1,1,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,15,15,26,26,0,1,1,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,18,21,24,28,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,24,27,25,30,3,2,432,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,30,33,26,32,3,2,432,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,36,48,27,53,3,2,432,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,39,68,26,71,6,3,47088,0.0,0.0,0.0
4,0.907199971015704,0.8673991440170553,0.9072,0.8674,9,9,24,24,0,1,1,3.097223997989204,6.672902964055538e-05,0.9186956720077433
6,0.83755,0.7287999999999999,0.8375500000000001,0.7288000000000001,15,15,26,26,0,1,1,3.290602329012472,0.00037978903856128454,0.99898078199476
8,0.819674389134785,0.6748454036020228,0.8182394538174018,0.6741500000000007,18,21,24,28,3,2,432,1432.3526418450056,3.5347137240460142,1.0555258929962292
