num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.9966289009101013,0.9983522683544483,0.9527,0.9668,2,2,15,12,0,1,1,1.0885042999871075,0.00035283499164506793,0.9458029860397801
6,0.9919298081747987,0.9944044732903156,0.9278366325,0.949,3,4,15,18,1,2,12,7.56317640497582,5.072396108007524,1.0468080439604819
8,0.9848167262735639,0.9844687905244222,0.91284528375,0.9235,5,6,14,23,1,2,12,8.606979986012448,5.597870237019379,1.227733267005533
10,0.9715626997513337,0.9685969516187236,0.8988338733283593,0.9018499999999999,6,8,14,31,2,3,48,38.45571075397311,5.341987527965102,1.2030980680137873
12,0.9431395498350148,0.9292086465749709,0.8780710383856294,0.8631500000000007,8,10,16,34,2,3,48,47.54815700999461,5.481068173015956,2.532105727994349
14,0.8924936031638698,0.8527699318957006,0.8356458545294629,0.7960000000000077,9,12,16,36,3,4,84,85.95351572299842,11.184214676963165,27.7184521650197
4,0.9950891948353047,0.9980353511672452,0.9405,0.96685,2,2,12,12,0,1,1,1.0573568409308791,2.0139035768806934e-05,0.4874486119952053
6,0.9920393243827891,0.9953649577595005,0.9298375624999999,0.95265,3,4,12,17,1,2,12,3.9188935660058632,0.00706663797609508,1.1349351949756965
8,0.9826331160612417,0.985162811269633,0.9165761425000001,0.9322,5,6,13,22,1,2,12,4.593947825953364,0.008125824038870633,0.5290230179671198
10,0.968966611660762,0.9657792567596847,0.9034135278313125,0.9122250000000001,6,8,13,27,2,3,48,17.558721364010125,0.022065561963245273,1.291401178110391
12,0.9383734800607572,0.9235051730492353,0.8921828438301909,0.8740249999999997,8,10,14,30,2,3,48,20.867683429038152,0.030032702954486012,0.6933365269796923
14,0.9300642260743374,0.8696201335587996,0.8881773493959825,0.840525,9,12,14,29,3,4,84,36.76115182705689,0.18879852700047195,2.600083381985314
16,0.9251696219241761,0.81346364400707,0.8862153743894642,0.8118500000000006,11,19,14,45,3,4,84,36.63101843895856,0.2520639970898628,10.3170329190325
