num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,6,11,18,28,1,1,6,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,10,21,24,37,1,1,6,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,14,27,30,48,1,1,6,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,18,32,36,55,1,1,6,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,22,24,42,45,1,1,6,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,26,42,48,74,1,1,6,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,30,50,54,92,1,1,6,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,34,47,60,90,1,1,6,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,38,40,66,69,1,1,6,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,63,56,110,100,1,1,6,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,53,81,107,129,1,1,6,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,73,80,139,138,1,1,6,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,6,11,18,28,1,1,6,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,10,19,24,37,1,1,6,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,14,28,30,45,1,1,6,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,18,32,36,51,1,1,6,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,22,24,42,45,1,1,6,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,26,44,48,70,1,1,6,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,30,56,54,81,1,1,6,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,34,48,60,75,1,1,6,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,38,40,66,69,1,1,6,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,53,68,96,116,1,1,6,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,63,83,109,124,1,1,6,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,79,82,127,142,1,1,6,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,6,11,18,28,1,1,6,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,10,21,24,37,1,1,6,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,14,28,30,45,1,1,6,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,18,26,36,45,1,1,6,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,22,24,42,45,1,1,6,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,26,38,48,67,1,1,6,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,30,46,54,82,1,1,6,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,34,48,60,75,1,1,6,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,38,40,66,69,1,1,6,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,54,46,102,89,1,1,6,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,58,73,106,126,1,1,6,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,83,90,149,149,1,1,6,0.0,0.0,0.0
4,0.9994567396584553,0.9978916373815875,0.9846137804157106,0.96835,6,11,18,28,1,1,6,30.899914046982303,3.246409218001645,16.8467744619702
6,0.9938548600456935,0.9853183445915875,0.9609284850793809,0.9307,10,21,24,37,1,1,6,39.846110004000366,3.298379304993432,29.292406735010445
8,0.9888697668410508,0.9883765760029872,0.9430312062231142,0.9448000000000001,14,28,30,42,1,1,6,53.1096593849943,3.445301224011928,26.434333672048524
10,0.9726657022983969,0.9568413497708165,0.930295714506134,0.9002500000000007,18,30,36,52,1,1,6,99.70386283297557,3.8164582590106875,48.00112098100362
