num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,0,3,7,19,3,4,234,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,11,18,25,3,4,234,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,7,14,23,36,3,4,234,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,13,24,50,48,3,4,234,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,16,17,57,57,3,4,234,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,26,34,61,77,3,4,234,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,27,44,70,97,3,4,234,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,37,52,75,93,3,4,234,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,41,50,77,94,3,4,234,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,47,63,96,101,3,4,234,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,53,69,103,122,3,4,234,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,73,85,123,140,3,4,234,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0,3,7,19,3,4,234,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2,11,8,26,3,4,234,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,7,16,23,45,3,4,234,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,15,22,31,54,3,4,234,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,18,25,43,74,3,4,234,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,25,33,69,80,3,4,234,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,27,46,55,85,3,4,234,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,38,44,89,85,3,4,234,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,40,49,82,104,3,4,234,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,52,75,95,125,3,4,234,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,66,69,100,118,3,4,234,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,74,87,147,151,3,4,234,0.0,0.0,0.0
