num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,4,6,15,18,1,2,12,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,10,18,21,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,16,23,35,42,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,20,26,34,41,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,32,35,35,42,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,40,48,53,61,1,2,12,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,38,51,35,42,1,2,12,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,54,58,65,69,1,2,12,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,61,72,54,64,1,2,12,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,71,82,45,59,1,2,12,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,82,94,67,64,1,2,12,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,83,99,53,59,1,2,12,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,4,6,15,18,1,2,12,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,8,13,18,26,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,15,20,21,24,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,25,30,29,35,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,29,37,41,47,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,30,45,29,38,1,2,12,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,49,52,49,52,1,2,12,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,53,68,44,58,1,2,12,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,65,70,55,77,1,2,12,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,73,83,50,61,1,2,12,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,79,84,58,70,1,2,12,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,87,94,75,70,1,2,12,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,4,6,12,15,1,2,12,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,11,16,26,30,1,2,12,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,15,20,21,32,1,2,12,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,22,27,26,30,1,2,12,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,26,34,29,44,1,2,12,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,34,47,46,44,1,2,12,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,46,49,47,47,1,2,12,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,50,61,44,44,1,2,12,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,66,70,49,57,1,2,12,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,73,86,96,112,1,2,12,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,79,97,85,90,1,2,12,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,87,101,69,63,1,2,12,0.0,0.0,0.0
