num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,9,18,26,42,3,2,432,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,18,33,29,40,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,27,46,29,42,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,43,60,53,53,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,46,61,40,56,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,63,83,65,59,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,85,108,51,63,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,85,111,53,79,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,112,122,66,65,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,145,146,74,85,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,130,158,62,58,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,160,166,78,65,3,1,216,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,6,18,15,33,3,1,216,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,17,31,38,41,3,2,432,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,24,42,35,46,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,31,46,44,57,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,61,76,64,74,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,70,95,52,73,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,68,95,78,98,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,89,119,54,63,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,119,135,53,68,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,128,139,74,67,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,132,174,62,124,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,170,188,94,82,3,1,216,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,9,16,21,40,3,2,432,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,18,29,29,43,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,22,40,32,36,3,2,432,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,42,58,34,55,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,58,78,48,62,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,60,80,43,62,3,1,216,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,85,99,57,65,3,1,216,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,95,113,58,87,3,1,216,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,111,124,48,76,3,1,216,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,113,150,62,76,3,1,216,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,127,149,88,79,3,1,216,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,151,190,85,95,3,1,216,0.0,0.0,0.0
