num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
4,0.0,0.0,0.0,0.0,0,6,4,22,3,4,84,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,28,36,47,69,3,1,216,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,82,85,90,112,3,1,216,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,148,169,155,178,3,1,216,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,222,236,196,228,3,1,216,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,369,379,317,314,3,1,216,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0,6,4,22,3,4,84,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,4,10,16,34,3,4,84,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,8,14,28,46,3,4,84,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,12,18,40,58,3,4,84,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,16,22,52,70,3,4,84,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,20,26,64,82,3,4,84,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,24,30,76,94,3,4,84,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,28,34,88,106,3,4,84,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,32,38,100,118,3,4,84,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,36,58,106,149,3,4,84,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,40,56,118,170,3,4,84,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,63,92,171,206,3,4,84,0.0,0.0,0.0
