num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,12,25,31,59,2,1
4,15,25,42,59,2,1
4,15,25,42,59,2,1
6,20,43,37,81,2,1
6,29,43,51,81,2,1
6,20,43,34,81,2,1
8,40,56,61,88,2,1
8,28,56,37,88,2,1
8,28,56,40,88,2,1
10,42,52,67,88,2,1
10,36,52,43,88,2,1
10,42,52,58,88,2,1
12,48,48,88,88,0,1
12,48,48,88,88,0,1
12,48,48,88,88,0,1
14,52,68,55,119,2,1
14,52,68,55,130,2,1
14,52,85,55,130,2,1
16,60,88,61,136,2,1
16,72,96,76,160,2,1
16,60,85,61,140,2,1
18,68,110,67,167,2,1
18,86,84,100,136,2,1
18,80,84,121,136,2,1
20,80,80,136,136,0,1
20,80,80,136,136,0,1
20,80,80,136,136,0,1
22,112,122,172,200,2,1
22,101,133,176,219,2,1
22,91,122,132,207,2,1
24,117,142,202,235,2,1
24,138,118,218,208,2,1
24,104,142,129,238,2,1
26,118,173,146,276,2,1
26,129,180,213,281,2,1
26,114,152,160,278,2,1
