num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,9,9,34,34,0,1
4,9,9,36,36,0,1
4,9,9,34,34,0,1
6,15,15,44,44,0,1
6,15,15,44,43,0,1
6,15,15,43,43,0,1
8,21,21,49,49,0,1
8,21,21,49,52,0,1
8,21,21,49,52,0,1
10,27,27,55,55,0,1
10,27,27,55,55,0,1
10,27,27,55,55,0,1
12,33,33,61,61,0,1
12,33,33,61,61,0,1
12,33,33,61,61,0,1
14,39,39,65,65,0,1
14,39,39,65,65,0,1
14,39,39,65,65,0,1
16,45,45,73,73,0,1
16,45,45,73,73,0,1
16,45,45,73,73,0,1
18,51,51,88,88,0,1
18,51,51,88,88,0,1
18,51,51,88,88,0,1
20,57,57,84,84,0,1
20,57,57,84,84,0,1
20,57,57,84,84,0,1
22,75,77,127,127,2,1
22,83,84,127,105,2,1
22,84,70,130,113,2,1
24,91,90,138,148,2,1
24,88,92,140,144,2,1
24,105,96,180,111,2,1
26,110,113,153,175,2,1
26,115,110,144,177,2,1
26,117,113,133,170,2,1
