num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,0,6,8,17,3,4
4,2,11,11,23,3,3
4,2,11,11,27,3,3
6,10,25,20,48,3,1
6,10,25,17,35,3,1
6,6,15,14,23,3,3
8,42,56,46,64,3,1
8,2,10,11,17,3,6
8,21,34,36,55,3,1
10,70,94,79,99,3,1
10,53,68,56,81,3,1
10,103,107,87,107,3,1
12,166,163,143,161,3,1
12,119,136,107,127,3,1
12,141,149,123,152,3,1
14,210,236,176,182,3,1
14,212,233,180,172,3,1
14,187,200,151,166,3,1
16,289,316,195,197,3,1
16,228,267,165,172,3,1
16,305,350,245,209,3,1
18,411,402,238,246,3,1
18,370,405,249,242,3,1
18,362,384,230,222,3,1
20,476,505,307,274,3,1
20,530,512,346,302,3,1
20,566,549,309,297,3,1
22,630,639,329,305,3,1
22,668,699,341,412,3,1
22,663,717,339,339,3,1
24,744,787,378,353,3,1
24,749,793,415,369,3,1
24,815,788,416,412,3,1
4,0,9,9,27,4,4
4,0,2,9,12,1,4
4,0,6,9,18,3,4
6,0,20,9,38,7,6
6,0,26,9,38,8,6
6,0,20,9,35,7,6
8,27,57,40,80,9,1
8,8,40,18,59,9,4
8,0,32,9,39,11,8
10,33,71,34,79,7,2
10,24,83,33,97,11,2
10,46,101,50,90,10,1
12,108,166,101,142,11,1
12,98,128,97,107,5,1
12,86,151,61,145,12,1
14,81,184,74,168,20,2
14,201,214,150,162,3,1
14,132,204,127,152,15,1
16,271,307,211,206,3,1
16,190,280,124,197,10,1
16,215,295,173,211,17,1
18,400,446,273,290,6,1
18,395,431,290,286,3,1
18,322,349,240,227,7,1
20,461,574,298,313,17,1
20,460,490,308,270,11,1
20,559,644,336,342,9,1
22,449,577,220,291,19,1
22,593,683,346,361,16,1
22,605,663,348,379,14,1
24,587,725,280,419,25,1
24,647,736,298,336,20,1
24,745,822,398,354,14,1
26,797,896,390,422,23,1
26,970,1030,424,505,15,1
26,832,905,405,428,17,1
4,0,4,9,12,2,4
4,0,6,9,15,3,4
4,0,4,9,12,2,4
6,0,22,9,37,8,6
6,0,23,9,33,8,6
6,0,20,9,34,7,6
8,24,64,32,73,8,1
8,0,37,9,65,11,8
8,6,38,15,66,9,4
10,39,74,41,80,7,1
10,38,70,36,87,9,1
10,37,63,44,73,7,1
12,156,167,120,136,3,1
12,99,118,91,125,5,1
12,109,111,99,102,3,1
14,127,172,113,127,8,1
14,137,199,124,185,10,1
14,123,164,91,144,9,1
16,201,264,145,194,14,1
16,244,297,191,201,10,1
16,184,260,126,215,15,1
18,330,404,170,239,13,1
18,322,360,248,256,8,1
18,302,342,210,236,10,1
20,467,526,256,293,6,1
20,474,524,280,313,7,1
20,502,497,317,306,6,1
22,586,650,307,283,10,1
22,583,713,286,367,19,1
22,512,595,251,334,12,1
24,687,796,357,368,21,1
24,684,736,295,352,3,1
24,757,851,392,392,10,1
26,1024,1008,516,492,3,1
26,869,975,439,479,24,1
26,987,997,422,481,7,1
