num_qubits,num_cnots,num_cnots_base,depth,depth_base,num_vgates,num_fragments
4,2,9,11,20,3,3
4,2,11,11,23,3,3
4,2,11,11,23,3,3
6,10,21,20,36,3,1
6,10,21,17,30,3,1
6,11,23,23,51,3,2
8,27,45,40,60,3,1
8,27,40,37,48,3,1
8,24,39,40,65,3,1
10,46,58,47,56,3,1
10,45,48,54,72,3,1
10,39,54,48,54,3,1
12,60,78,55,86,3,1
12,53,75,47,64,3,1
12,63,76,59,78,3,1
14,79,95,85,84,3,1
14,78,84,70,70,3,1
14,77,77,60,71,3,1
16,89,118,79,92,3,2
16,103,128,84,82,3,1
16,102,136,74,92,3,1
18,108,137,84,126,3,2
18,137,144,106,111,3,1
18,128,148,97,118,3,1
20,143,178,103,109,3,1
20,140,159,110,107,3,1
20,147,175,84,111,3,1
22,164,178,120,123,3,1
22,161,198,92,112,3,1
22,156,191,107,146,3,1
24,194,216,121,151,3,1
24,205,225,131,111,3,1
24,200,222,135,171,3,1
26,212,266,119,158,3,1
26,236,263,109,152,3,1
26,220,235,117,128,3,1
