num_qubits,base_fidelity,vroute_fidelity,base_num_cx,vroute_num_cx,overhead,cut_time,knit_time,run_time
4,0.08514999999999999,0.056056652640016025,25,12,36,0.0013929770793765783,0.008503932040184736,34.5531970069278
4,0.08510000000000001,0.051646124244090166,25,12,36,0.0014682100154459476,0.008313470054417849,34.67473789304495
4,0.08795,0.049818996960486306,25,12,36,0.00139989098533988,0.00821138615719974,33.09527738089673
6,0.12594999999999998,0.09308582866293034,43,20,36,0.0016080669593065977,0.009343046927824616,49.31906278687529
6,0.12054999999999999,0.10052298841931115,43,20,36,0.0016324028838425875,0.010156211908906698,50.27719153393991
6,0.11289999999999999,0.1341084572630314,43,20,36,0.0016948110423982143,0.010436133947223425,46.46536129806191
8,0.12525000000000008,0.09249307560742495,56,28,36,0.0018584320787340403,0.04530369094572961,32.50891864695586
8,0.12120000000000002,0.09160570982996276,56,28,36,0.002163853030651808,0.03674910287372768,28.760883602080867
8,0.11159999999999996,0.09272794561933533,56,28,36,0.0022092480212450027,0.03406781703233719,27.85835375613533
10,0.19289999999999877,0.19541160705187016,63,36,36,0.0026696540880948305,0.09722392703406513,47.67075820895843
10,0.2038999999999988,0.19648548172076097,52,36,36,0.002520088804885745,0.07607655599713326,47.9097565850243
10,0.20419999999999863,0.20033229782032924,52,36,36,0.0024238459300249815,0.06717234780080616,46.5141807559412
12,0.22699999999999415,0.23223044849887067,48,44,36,0.0027136451099067926,0.2341096110176295,160.63984210207127
12,0.23359999999999342,0.22656232639798374,48,44,36,0.0027410450857132673,0.22160951304249465,175.38439314300194
12,0.2251999999999934,0.22836458551941416,48,44,36,0.0031608319841325283,0.09493071306496859,172.3341010529548
14,0.37289999999997636,0.3447655058540978,67,52,36,0.0029192918445914984,0.4905629379209131,758.0651851189323
14,0.3741999999999764,0.3455687170895201,79,52,36,0.003541182028129697,0.2174149490892887,865.0384276679251
