num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,7,7,16,14,14,14,0,2,2,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,7,7,16,15,14,14,0,4,4,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,15,13,18,26,27,27,0,4,4,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,9,9,18,21,20,20,0,7,7,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,11,11,16,20,20,20,0,9,9,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,24,20,39,44,65,65,0,6,6,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,18,18,33,28,44,44,0,10,10,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,18,22,34,36,54,54,0,11,11,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,22,20,39,36,65,65,0,12,12,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,24,18,40,37,65,65,0,14,14,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,31,34,48,44,104,104,0,13,13,0.0,0.0,0.0
