num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,5,5,9,9,20,20,0,1,1,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,7,7,11,11,35,35,0,1,1,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,9,9,13,13,54,54,0,1,1,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,11,11,15,15,77,77,0,1,1,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,13,13,17,17,104,104,0,1,1,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,15,15,19,19,135,135,0,1,1,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,17,17,21,21,170,170,0,1,1,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,19,19,23,23,209,209,0,1,1,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,35,36,50,53,252,252,0,1,1,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,53,56,75,75,299,299,0,1,1,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,66,53,77,69,350,350,0,1,1,0.0,0.0,0.0
