num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,9,9,31,31,24,24,0,1,1,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,13,13,33,33,41,41,0,1,1,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,17,17,40,40,62,62,0,1,1,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,21,21,44,44,87,87,0,1,1,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,25,25,54,54,116,116,0,1,1,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,29,29,58,58,149,149,0,1,1,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,33,33,64,64,186,186,0,1,1,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,37,37,71,71,227,227,0,1,1,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,62,53,114,109,272,272,0,1,1,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,60,60,139,145,321,321,0,1,1,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,79,76,137,160,374,374,0,1,1,0.0,0.0,0.0
