num_qubits,h_fid,h_fid_base,tv_fid,tv_fid_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_fragments,num_instances,run_time,knit_time,run_time_base
6,0.0,0.0,0.0,0.0,21,26,41,48,22,24,2,1,36,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,36,45,54,53,36,43,2,1,36,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,52,56,56,60,55,61,2,1,36,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,65,73,74,60,87,95,2,1,36,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,79,91,54,68,98,109,2,1,36,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,83,111,53,73,121,133,2,1,36,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,101,120,73,68,138,152,2,1,36,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,120,127,90,92,204,208,2,1,36,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,140,155,69,85,179,210,2,1,36,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,170,157,85,85,242,249,1,1,6,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,185,181,100,78,272,281,2,1,36,0.0,0.0,0.0
