num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_cuts_base
8,nan,nan,0.9853038153864218,0.9782334320336602,6,13,26,38,11,41,2,2
10,nan,nan,0.9813689499475636,0.9720878764784667,8,17,30,43,17,62,2,2
12,nan,nan,0.9768639152421186,0.9654980352686954,10,21,34,50,24,87,2,2
14,nan,nan,0.9722818853722449,0.962508609694473,12,23,37,50,32,101,2,2
8,nan,nan,0.9851067644763829,0.9782334320336602,6,13,25,38,11,41,2,2
10,nan,nan,0.9813689499475636,0.9720878764784667,8,17,30,43,17,62,2,2
12,nan,nan,0.9768639152421186,0.9654980352686954,10,21,34,50,24,87,2,2
14,nan,nan,0.9722818853722449,0.962508609694473,12,23,37,50,32,101,2,2
8,nan,nan,0.9851067644763829,0.9782334320336602,6,13,25,38,11,41,2,2
10,nan,nan,0.9813689499475636,0.9720878764784667,8,17,30,43,17,62,2,2
12,nan,nan,0.9768639152421186,0.9654980352686954,10,21,34,50,24,87,2,2
14,nan,nan,0.9722818853722449,0.962508609694473,12,23,37,50,32,101,2,2
8,nan,nan,0.9853038153864218,0.9782334320336602,6,13,26,38,11,41,2,2
10,nan,nan,0.9813689499475636,0.9720878764784667,8,17,30,43,17,62,2,2
12,nan,nan,0.9768639152421186,0.9654980352686954,10,21,34,50,24,87,2,2
14,nan,nan,0.9722818853722449,0.962508609694473,12,23,37,50,32,101,2,2
8,nan,nan,0.9853038153864218,0.9782334320336602,6,13,26,38,11,41,2,2
10,nan,nan,0.9813689499475636,0.9720878764784667,8,17,30,43,17,62,2,2
12,nan,nan,0.9768639152421186,0.9654980352686954,10,21,34,50,24,87,2,2
14,nan,nan,0.9722818853722449,0.962508609694473,12,23,37,50,32,101,2,2
8,nan,nan,0.9851067644763829,0.9782334320336602,6,13,25,38,11,41,2,2
10,nan,nan,0.9813689499475636,0.9720878764784667,8,17,30,43,17,62,2,2
12,nan,nan,0.9768639152421186,0.9654980352686954,10,21,34,50,24,87,2,2
14,nan,nan,0.9722818853722449,0.962508609694473,12,23,37,50,32,101,2,2
8,nan,nan,0.9853038153864218,0.9782334320336602,6,13,26,38,11,41,2,2
10,nan,nan,0.9813689499475636,0.9720878764784667,8,17,30,43,17,62,2,2
12,nan,nan,0.9768639152421186,0.9654980352686954,10,21,34,50,24,87,2,2
14,nan,nan,0.9722818853722449,0.962508609694473,12,23,37,50,32,101,2,2
8,nan,nan,0.9851067644763829,0.9782334320336602,6,13,25,38,11,41,2,2
10,nan,nan,0.9813689499475636,0.9720878764784667,8,17,30,43,17,62,2,2
12,nan,nan,0.9768639152421186,0.9654980352686954,10,21,34,50,24,87,2,2
14,nan,nan,0.9722818853722449,0.962508609694473,12,23,37,50,32,101,2,2
