num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_cuts_base
8,nan,nan,0.9865856074213887,0.979897485236072,6,14,18,29,9,35,2,2
10,nan,nan,0.9827438974646875,0.9742284924331239,8,18,21,35,14,54,2,2
12,nan,nan,0.978917146914733,0.968592296407271,10,22,24,41,20,77,2,2
14,nan,nan,0.9751052975204195,0.9657864378493884,12,24,27,44,27,90,2,2
16,nan,nan,0.9713082912574689,0.9657864378493884,14,24,30,44,35,90,2,2
18,nan,nan,0.9675260703275457,0.9657864378493886,16,24,33,41,44,80,2,2
20,nan,nan,0.9637585771573791,0.9657864378493887,18,24,36,41,54,80,2,2
22,nan,nan,0.9600057543978839,0.9657864378493884,20,24,39,44,65,90,2,2
24,nan,nan,0.9562675449232899,0.9657864378493884,22,24,42,44,77,90,2,2
8,nan,nan,0.9865856074213887,0.9798974852360718,6,14,18,29,9,35,2,2
10,nan,nan,0.9827438974646875,0.9742284924331239,8,18,21,35,14,54,2,2
12,nan,nan,0.978917146914733,0.968592296407271,10,22,24,41,20,77,2,2
14,nan,nan,0.9751052975204195,0.9657864378493884,12,24,27,44,27,90,2,2
16,nan,nan,0.9713082912574689,0.9657864378493884,14,24,30,44,35,90,2,2
18,nan,nan,0.9675260703275457,0.9657864378493886,16,24,33,41,44,80,2,2
20,nan,nan,0.9637585771573791,0.9657864378493887,18,24,36,41,54,80,2,2
22,nan,nan,0.9600057543978835,0.9657864378493884,20,24,39,44,65,90,2,2
24,nan,nan,0.9562675449232899,0.9657864378493884,22,24,42,44,77,90,2,2
8,nan,nan,0.9865856074213887,0.979897485236072,6,14,18,29,9,35,2,2
10,nan,nan,0.9827438974646875,0.9742284924331239,8,18,21,35,14,54,2,2
12,nan,nan,0.978917146914733,0.968592296407271,10,22,24,41,20,77,2,2
14,nan,nan,0.9751052975204195,0.9657864378493884,12,24,27,44,27,90,2,2
16,nan,nan,0.9713082912574689,0.9657864378493884,14,24,30,44,35,90,2,2
18,nan,nan,0.9675260703275457,0.9657864378493886,16,24,33,41,44,80,2,2
20,nan,nan,0.9637585771573791,0.9657864378493887,18,24,36,41,54,80,2,2
22,nan,nan,0.9600057543978835,0.9657864378493884,20,24,39,44,65,90,2,2
24,nan,nan,0.9562675449232899,0.9657864378493884,22,24,42,44,77,90,2,2
8,nan,nan,0.9865856074213887,0.979897485236072,6,14,18,29,9,35,2,2
10,nan,nan,0.9827438974646875,0.9742284924331239,8,18,21,35,14,54,2,2
12,nan,nan,0.978917146914733,0.968592296407271,10,22,24,41,20,77,2,2
14,nan,nan,0.9751052975204195,0.9657864378493884,12,24,27,44,27,90,2,2
16,nan,nan,0.9713082912574689,0.9657864378493884,14,24,30,44,35,90,2,2
18,nan,nan,0.9675260703275457,0.9657864378493886,16,24,33,41,44,80,2,2
20,nan,nan,0.9637585771573791,0.9657864378493887,18,24,36,41,54,80,2,2
22,nan,nan,0.9600057543978835,0.9657864378493884,20,24,39,44,65,90,2,2
24,nan,nan,0.9562675449232899,0.9657864378493884,22,24,42,44,77,90,2,2
8,nan,nan,0.9865856074213887,0.9798974852360718,6,14,18,29,9,35,2,2
10,nan,nan,0.9827438974646875,0.9742284924331239,8,18,21,35,14,54,2,2
12,nan,nan,0.978917146914733,0.968592296407271,10,22,24,41,20,77,2,2
14,nan,nan,0.9751052975204195,0.9657864378493884,12,24,27,44,27,90,2,2
16,nan,nan,0.9713082912574689,0.9657864378493884,14,24,30,44,35,90,2,2
18,nan,nan,0.9675260703275457,0.9657864378493886,16,24,33,41,44,80,2,2
20,nan,nan,0.9637585771573791,0.9657864378493887,18,24,36,41,54,80,2,2
8,nan,nan,0.9865856074213887,0.9798974852360718,6,14,18,29,9,35,2,2
10,nan,nan,0.9827438974646875,0.9742284924331239,8,18,21,35,14,54,2,2
12,nan,nan,0.978917146914733,0.968592296407271,10,22,24,41,20,77,2,2
14,nan,nan,0.9751052975204195,0.9657864378493884,12,24,27,44,27,90,2,2
16,nan,nan,0.9713082912574689,0.9657864378493884,14,24,30,44,35,90,2,2
18,nan,nan,0.9675260703275457,0.9657864378493886,16,24,33,41,44,80,2,2
20,nan,nan,0.9637585771573791,0.9657864378493887,18,24,36,41,54,80,2,2
22,nan,nan,0.9600057543978835,0.9657864378493884,20,24,39,44,65,90,2,2
24,nan,nan,0.9562675449232899,0.9657864378493884,22,24,42,44,77,90,2,2
8,nan,nan,0.9865856074213887,0.9798974852360718,6,14,18,29,9,35,2,2
10,nan,nan,0.9827438974646875,0.9742284924331239,8,18,21,35,14,54,2,2
12,nan,nan,0.978917146914733,0.968592296407271,10,22,24,41,20,77,2,2
14,nan,nan,0.9751052975204195,0.9657864378493884,12,24,27,44,27,90,2,2
16,nan,nan,0.9713082912574689,0.9657864378493884,14,24,30,44,35,90,2,2
18,nan,nan,0.9675260703275457,0.9657864378493886,16,24,33,41,44,80,2,2
20,nan,nan,0.9637585771573791,0.9657864378493887,18,24,36,41,54,80,2,2
22,nan,nan,0.9600057543978835,0.9657864378493884,20,24,39,44,65,90,2,2
24,nan,nan,0.9562675449232899,0.9657864378493884,22,24,42,44,77,90,2,2
