num_qubits,fid,fid_cutqc,fid_base,esp,esp_cutqc,esp_base,num_cnots,num_cnots_cutqc,num_cnots_base,depth,depth_cutqc,depth_base,num_deps,num_deps_cutqc,num_deps_base,num_vgates,num_cuts_cutqc
8,0.9816319431308055,0.9753350326473738,0.9859494087406612,0.9851067644763829,0.9818606659849541,0.9813685080075384,6,11,14,25,32,39,11,32,41,2,2
8,0.9858240442720813,0.9747670295292494,0.9845519885330724,0.9851067644763829,0.9818606659849541,0.9813685080075384,6,11,14,25,32,39,11,32,41,2,2
10,0.9846706480309555,0.9717608758177662,0.9695881625945437,0.9813689499475636,0.9818606659849541,0.9762766244614449,8,11,18,30,32,46,17,32,62,2,2
12,0.9736385897772132,0.9664288976769452,0.9428410531422967,0.9768639152421186,0.9798008191884979,0.9712111604283429,10,11,22,34,34,56,24,32,87,2,2
8,nan,nan,nan,0.9853038153864218,0.9818606659849541,0.9690767378782265,6,11,14,26,32,39,11,32,41,2,2
10,nan,nan,nan,0.9813689499475636,0.9818606659849541,0.9580888601743932,8,11,18,30,32,46,17,32,62,2,2
12,nan,nan,nan,0.9768639152421186,0.9798008191884979,0.9495017540401447,10,11,22,34,34,55,24,32,87,2,2
8,nan,nan,nan,0.9853038153864218,0.9818606659849541,0.9690767378782265,6,11,14,26,32,39,11,32,41,2,2
10,nan,nan,nan,0.9813689499475636,0.9818606659849541,0.9580888601743932,8,11,18,30,32,46,17,32,62,2,2
12,nan,nan,nan,0.9768639152421186,0.9798008191884979,0.9517834092254756,10,11,22,34,34,56,24,32,87,2,2
