num_qubits,fid,fid_base,esp,esp_base,num_cnots,num_cnots_base,depth,depth_base,num_deps,num_deps_base,num_vgates,num_cuts_base
10,0.4586414522768045,0.85433115335611,0.9811731278231043,0.9753021046675636,8,15,28,36,17,51,2,2
14,0.2836611939808944,0.665957909104931,0.972087000957708,0.9738401751341432,12,15,33,39,32,51,2,2
8,0.5545033607335998,0.8877807573157364,0.9852052850048835,0.9824499886302819,6,11,25,28,11,32,2,2
10,0.48723982008184946,0.8776467832991465,0.9811731278231043,0.9824499886302819,8,11,28,28,17,32,2,2
12,0.6783143336644148,0.8712678532909601,0.9759846497918555,0.9806830809978517,10,11,29,28,24,32,2,2
8,0.5522662748224171,0.8897597350359547,0.9852052850048835,0.9824499886302819,6,11,25,28,11,32,2,2
10,0.4667560649632151,0.8862980667994573,0.9814675386416519,0.9824499886302819,8,11,28,28,17,32,2,2
12,0.6906790386249316,0.8751022043173419,0.9759846497918555,0.9806830809978517,10,11,31,29,24,32,2,2
8,0.24030026770262472,0.9035739551838806,0.9852052850048835,0.9820570675778993,6,11,25,29,11,32,2,2
10,0.47089190643290973,0.9121159776690128,0.9805841295159617,0.9820570675778993,8,11,28,29,17,32,2,2
8,0.20164071508768,0.8806343105918369,0.9852052850048835,0.9820570675778993,6,11,25,29,11,32,2,2
10,0.46556940680233405,0.8972949562425453,0.9805841295159617,0.9820570675778993,8,11,28,29,17,32,2,2
12,0.6768645103338737,0.8694608607560885,0.9759846497918555,0.9806830809978517,10,11,31,29,24,32,2,2
8,0.23761995902031946,0.8892051440501302,0.9852052850048835,0.9820570675778993,6,11,25,29,11,32,2,2
10,0.4686517784939288,0.9160743236709061,0.9805841295159617,0.9820570675778993,8,11,28,29,17,32,2,2
12,0.7002181220652727,0.8837235788825933,0.9759846497918555,0.9806830809978517,10,11,31,29,24,32,2,2
10,nan,nan,0.9805841295159617,0.9820570675778993,8,11,28,29,17,32,2,2
12,nan,nan,0.9759846497918555,0.9806830809978517,10,11,31,29,24,32,2,2
8,nan,nan,0.9852052850048835,0.9820570675778993,6,11,25,29,11,32,2,2
10,nan,nan,0.9805841295159617,0.9820570675778993,8,11,28,29,17,32,2,2
12,nan,nan,0.9759846497918555,0.9806830809978517,10,11,31,29,24,32,2,2
